country,imports,exports,total
AM,24034322.0,48716491.0,72750813.0
MN,4685921.0,66520737.0,71206658.0
ML,17171503.0,50702343.0,67873846.0
GA,7072174.0,55087710.0,62159884.0
GL,7408818.0,54423076.0,61831894.0
KG,2654302.0,50713257.0,53367559.0
MU,31978589.0,20674639.0,52653228.0
FO,43152368.0,6534351.0,49686719.0
GQ,36914836.0,10924376.0,47839212.0
LC,1614275.0,46192512.0,47806787.0
PF,3926371.0,42965377.0,46891748.0
SL,6743793.0,40090502.0,46834295.0
AF,39536754.0,7112705.0,46649459.0
GI,107209.0,46249167.0,46356376.0
CW,305630.0,42496757.0,42802387.0
ZW,13192872.0,26851343.0,40044215.0
SD,482980.0,38109313.0,38592293.0
VC,477918.0,37721410.0,38199328.0
AG,891609.0,35128714.0,36020323.0
BZ,9474680.0,25285911.0,34760591.0
RW,9877879.0,22250219.0,32128098.0
TC,600312.0,28638028.0,29238340.0
BN,14904378.0,11400343.0,26304721.0
SY,8802951.0,16607572.0,25410523.0
GD,2853575.0,22254827.0,25108402.0
LS,23049475.0,409334.0,23458809.0
KN,3164405.0,19715325.0,22879730.0
GM,358484.0,20382293.0,20740777.0
AW,209262.0,18190922.0,18400184.0
YE,800871.0,15443021.0,16243892.0
SC,2531502.0,12796898.0,15328400.0
SX,334002.0,14722567.0,15056569.0
DM,916725.0,13886065.0,14802790.0
NE,2611874.0,9365660.0,11977534.0
ME,2339506.0,9442619.0,11782125.0
SO,1025660.0,10315739.0,11341399.0
TJ,2742329.0,8467739.0,11210068.0
MW,2974483.0,7480156.0,10454639.0
GU,420475.0,9872351.0,10292826.0
BI,4961626.0,4575062.0,9536688.0
SZ,6239831.0,2861202.0,9101033.0
VG,432030.0,8227245.0,8659275.0
ER,38676.0,7703686.0,7742362.0
MF,2425.0,7644387.0,7646812.0
DJ,1213223.0,5333048.0,6546271.0
BY,4904239.0,1547380.0,6451619.0
CV,825851.0,4930052.0,5755903.0
TD,315406.0,5058747.0,5374153.0
AI,109524.0,4973042.0,5082566.0
VU,553419.0,3964203.0,4517622.0
CF,1448611.0,3031431.0,4480042.0
NR,4156811.0,0.0,4156811.0
FK,3610637.0,479824.0,4090461.0
TL,3459135.0,141673.0,3600808.0
AS,1772634.0,1715600.0,3488234.0
KM,916675.0,1608513.0,2525188.0
TO,585335.0,1825407.0,2410742.0
AD,790259.0,1044692.0,1834951.0
BL,430050.0,1369633.0,1799683.0
BT,1148694.0,529770.0,1678464.0
WS,907128.0,286060.0,1193188.0
CX,615278.0,574059.0,1189337.0
SB,185400.0,977231.0,1162631.0
PN,347909.0,785692.0,1133601.0
SS,154472.0,811625.0,966097.0
MS,420528.0,534398.0,954926.0
GW,119220.0,821712.0,940932.0
AQ,86951.0,829214.0,916165.0
KI,499982.0,370383.0,870365.0
NU,583381.0,2380.0,585761.0
ST,233244.0,346098.0,579342.0
CK,284037.0,186473.0,470510.0
KP,0.0,428436.0,428436.0
IO,254093.0,70458.0,324551.0
NF,25641.0,272071.0,297712.0
CC,180162.0,10784.0,190946.0
SH,179216.0,7240.0,186456.0
TF,54426.0,119946.0,174372.0
BV,105202.0,63987.0,169189.0
WF,27202.0,83423.0,110625.0
EH,1819.0,26600.0,28419.0
HM,302.0,0.0,302.0
