hs6,description
020751,"Meat and edible offal, of the poultry of heading 01.05, fresh, - Of geese - Not cut in pieces, fresh or chilled"
020752,"Meat and edible offal, of the poultry of heading 01.05, fresh, - Of geese - Not cut in pieces, frozen"
020753,"Meat and edible offal, of the poultry of heading 01.05, fresh, - Of geese - Fatty livers, fresh or chilled"
020754,"Meat and edible offal, of the poultry of heading 01.05, fresh, - Of geese - Other, fresh or chilled"
020755,"Meat and edible offal, of the poultry of heading 01.05, fresh, - Of geese - Other, frozen"
020760,"Meat and edible offal, of the poultry of heading 01.05, fresh, - Of geese - Of guinea fowls"
020810,"Other meat and edible meat offal, fresh, chilled or frozen - Of rabbits or hares"
020830,"Other meat and edible meat offal, fresh, chilled or frozen - Of primates"
020840,"Other meat and edible meat offal, fresh, chilled or frozen - Of whales, dolphins and porpoises (mammals of the order"
020850,"Other meat and edible meat offal, fresh, chilled or frozen - Of reptiles (including snakes and turtles)"
020860,"Other meat and edible meat offal, fresh, chilled or frozen - Of camels and other camelids (Camelidae)"
020890,"Other meat and edible meat offal, fresh, chilled or frozen - Other"
020910,"Pig fat, free of lean meat, and poultry fat, not rendered or - Of pigs"
020990,"Pig fat, free of lean meat, and poultry fat, not rendered or - Other"
021011,"Meat and edible meat offal, salted, in brine, dried or smoked; - Meat of swine - Hams, shoulders and cuts thereof, with bone in"
021012,"Meat and edible meat offal, salted, in brine, dried or smoked; - Meat of swine - Bellies (streaky) and cuts thereof"
021019,"Meat and edible meat offal, salted, in brine, dried or smoked; - Meat of swine - Other"
021020,"Meat and edible meat offal, salted, in brine, dried or smoked; - Meat of swine - Meat of bovine animals"
021091,"Meat and edible meat offal, salted, in brine, dried or smoked; - Other, including edible flours and meals of meat or meat offal - Of primates"
021092,"Meat and edible meat offal, salted, in brine, dried or smoked; - Other, including edible flours and meals of meat or meat offal - Of whales, dolphins and porpoises (mammals of the order"
021093,"Meat and edible meat offal, salted, in brine, dried or smoked; - Other, including edible flours and meals of meat or meat offal - Of reptiles (including snakes and turtles)"
021099,"Meat and edible meat offal, salted, in brine, dried or smoked; - Other, including edible flours and meals of meat or meat offal - Other"
030111,Live fish - Ornamental fish - Freshwater
030119,Live fish - Ornamental fish - Other
030191,"Live fish - Other live fish - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,"
030192,Live fish - Other live fish - Eels (Anguilla spp.)
030193,"Live fish - Other live fish - Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,"
030194,"Live fish - Other live fish - Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus"
030195,Live fish - Other live fish - Southern bluefin tunas (Thunnus maccoyii)
030199,Live fish - Other live fish - Other
030211,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,"
030213,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,"
030214,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Atlantic salmon (Salmo salar) and Danube salmon (Hucho"
030219,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030221,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Halibut (Reinhardtius hippoglossoides, Hippoglossus"
030222,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Plaice (Pleuronectes platessa)"
030223,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Sole (Solea spp.)"
030224,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Turbots (Psetta maxima)"
030229,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030231,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Albacore or longfinned tunas (Thunnus alalunga)"
030232,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Yellowfin tunas (Thunnus albacares)"
030233,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)"
030234,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Bigeye tunas (Thunnus obesus)"
030235,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus"
030236,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Southern bluefin tunas (Thunnus maccoyii)"
030239,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030241,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Herrings (Clupea harengus, Clupea pallasii)"
030242,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Anchovies (Engraulis spp.)"
030243,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Sardines (Sardina pilchardus, Sardinops spp.), sardinella"
030244,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Mackerel (Scomber scombrus, Scomber australasicus, Scomber"
030245,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Jack and horse mackerel (Trachurus spp.)"
030246,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Cobia (Rachycentron canadum)"
030247,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Swordfish (Xiphias gladius)"
030249,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030251,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030252,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Haddock (Melanogrammus aeglefinus)"
030253,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Coalfish (Pollachius virens)"
030254,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Hake (Merluccius spp., Urophycis spp.)"
030255,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Alaska Pollock (Theragra chalcogramma)"
030256,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Blue whitings (Micromesistius poutassou, Micromesistius"
030259,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030271,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Tilapias (Oreochromis spp.)"
030272,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus"
030273,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,"
030274,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Eels (Anguilla spp.)"
030279,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030281,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Dogfish and other sharks"
030282,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Rays and skates (Rajidae)"
030283,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Toothfish (Dissostichus spp.)"
030284,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Seabass (Dicentrarchus spp.)"
030285,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Seabream (Sparidae)"
030289,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Other"
030291,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Salmonidae, excluding edible fish offal of subheadings to"
030292,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - Shark fins"
030299,"Fish, fresh or chilled, excluding fish fillets and other fish meat of - 0302.11 -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,"
030311,"Fish, frozen, excluding fish fillets and other fish meat of heading - Sockeye salmon (red salmon) (Oncorhynchus nerka)"
030312,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus"
030313,"Fish, frozen, excluding fish fillets and other fish meat of heading - Atlantic salmon (Salmo salar) and Danube salmon (Hucho"
030314,"Fish, frozen, excluding fish fillets and other fish meat of heading - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus"
030319,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030323,"Fish, frozen, excluding fish fillets and other fish meat of heading - Tilapias (Oreochromis spp.)"
030324,"Fish, frozen, excluding fish fillets and other fish meat of heading - Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus"
030325,"Fish, frozen, excluding fish fillets and other fish meat of heading - Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,"
030326,"Fish, frozen, excluding fish fillets and other fish meat of heading - Eels (Anguilla spp.)"
030329,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030331,"Fish, frozen, excluding fish fillets and other fish meat of heading - Halibut (Reinhardtius hippoglossoides, Hippoglossus"
030332,"Fish, frozen, excluding fish fillets and other fish meat of heading - Plaice (Pleuronectes platessa)"
030333,"Fish, frozen, excluding fish fillets and other fish meat of heading - Sole (Solea spp.)"
030334,"Fish, frozen, excluding fish fillets and other fish meat of heading - Turbots (Psetta maxima)"
030339,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030341,"Fish, frozen, excluding fish fillets and other fish meat of heading - Albacore or longfinned tunas (Thunnus alalunga)"
030342,"Fish, frozen, excluding fish fillets and other fish meat of heading - Yellowfin tunas (Thunnus albacares)"
030343,"Fish, frozen, excluding fish fillets and other fish meat of heading - Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)"
030344,"Fish, frozen, excluding fish fillets and other fish meat of heading - Bigeye tunas (Thunnus obesus)"
