hs6,description
190532,"Bread, pastry, cakes, biscuits and other bakers' wares, whether - Sweet biscuits; waffles and wafers - Waffles and wafers"
190540,"Bread, pastry, cakes, biscuits and other bakers' wares, whether - Sweet biscuits; waffles and wafers - Rusks, toasted bread and similar toasted products"
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether - Sweet biscuits; waffles and wafers - Other"
200110,"Vegetables, fruit, nuts and other edible parts of plants, prepared - Cucumbers and gherkins"
200190,"Vegetables, fruit, nuts and other edible parts of plants, prepared - Other"
200210,"Tomatoes prepared or preserved otherwise than by vinegar or - Tomatoes, whole or in pieces"
200290,Tomatoes prepared or preserved otherwise than by vinegar or - Other
200310,"Mushrooms and truffles, prepared or preserved otherwise than - Mushrooms of the genus Agaricus"
200390,"Mushrooms and truffles, prepared or preserved otherwise than - Other"
200410,Other vegetables prepared or preserved otherwise than by - Potatoes
200490,Other vegetables prepared or preserved otherwise than by - Other vegetables and mixtures of vegetables
200510,Other vegetables prepared or preserved otherwise than by - Sweet biscuits; waffles and wafers - preparations may contain a small quantity of visible pieces of vegetables. Subheading takes
200520,Other vegetables prepared or preserved otherwise than by - Potatoes
200540,Other vegetables prepared or preserved otherwise than by - Peas (Pisum sativum)
200551,"Other vegetables prepared or preserved otherwise than by - Beans (Vigna spp., Phaseolus spp.) - Beans, shelled"
200559,"Other vegetables prepared or preserved otherwise than by - Beans (Vigna spp., Phaseolus spp.) - Other"
200560,"Other vegetables prepared or preserved otherwise than by - Beans (Vigna spp., Phaseolus spp.) - Asparagus"
200570,"Other vegetables prepared or preserved otherwise than by - Beans (Vigna spp., Phaseolus spp.) - Olives"
200580,"Other vegetables prepared or preserved otherwise than by - Beans (Vigna spp., Phaseolus spp.) - Sweet corn (Zea mays var. saccharata)"
200591,Other vegetables prepared or preserved otherwise than by - Other vegetables and mixtures of vegetables - Bamboo shoots
200599,Other vegetables prepared or preserved otherwise than by - Other vegetables and mixtures of vegetables - Other
200600,"2006.00 Vegetables, fruit, nuts, fruit-peel and other parts of plants, - 20.06 Vegetables, fruit, nuts, fruit-peel and other parts of plants,"
200710,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or - Sweet biscuits; waffles and wafers - 2.- For the purposes of subheading , the expression “homogenised preparations” means preparations"
200791,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or - Other - Citrus fruit"
200799,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or - Other - Other"
200811,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Ground-nuts"
200819,"Fruit, nuts and other edible parts of plants, otherwise prepared - Other, including mixtures other than those of subheading 2008.19 - Other, including mixtures other than those of subheading :"
200820,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Pineapples"
200830,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Citrus fruit"
200840,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Pears"
200850,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Apricots"
200860,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Cherries"
200870,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Peaches, including nectarines"
200880,"Fruit, nuts and other edible parts of plants, otherwise prepared - Nuts, ground-nuts and other seeds, whether or not mixed together - Strawberries"
200891,"Fruit, nuts and other edible parts of plants, otherwise prepared - Other, including mixtures other than those of subheading 2008.19 - Palm hearts"
200893,"Fruit, nuts and other edible parts of plants, otherwise prepared - Other, including mixtures other than those of subheading 2008.19 - Cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos);"
200897,"Fruit, nuts and other edible parts of plants, otherwise prepared - Other, including mixtures other than those of subheading 2008.19 - Mixtures"
200899,"Fruit, nuts and other edible parts of plants, otherwise prepared - Other, including mixtures other than those of subheading 2008.19 - Other"
200911,Fruit or nut juices (including grape must and coconut water) and - Orange juice - Frozen
200912,"Fruit or nut juices (including grape must and coconut water) and - Orange juice - 3.- For the purposes of subheadings , 2009.21, 2009.31, 2009.41, 2009.61 and 2009.71, the"
200919,Fruit or nut juices (including grape must and coconut water) and - Orange juice - Other
200921,"Fruit or nut juices (including grape must and coconut water) and - Grapefruit juice; pomelo juice - 3.- For the purposes of subheadings 2009.12, , 2009.31, 2009.41, 2009.61 and 2009.71, the"
200929,Fruit or nut juices (including grape must and coconut water) and - Grapefruit juice; pomelo juice - Other
200931,"Fruit or nut juices (including grape must and coconut water) and - Juice of any other single citrus fruit - 3.- For the purposes of subheadings 2009.12, 2009.21, , 2009.41, 2009.61 and 2009.71, the"
200939,Fruit or nut juices (including grape must and coconut water) and - Juice of any other single citrus fruit - Other
200941,"Fruit or nut juices (including grape must and coconut water) and - Pineapple juice - 3.- For the purposes of subheadings 2009.12, 2009.21, 2009.31, , 2009.61 and 2009.71, the"
200949,Fruit or nut juices (including grape must and coconut water) and - Pineapple juice - Other
200950,Fruit or nut juices (including grape must and coconut water) and - Pineapple juice - Tomato juice
200961,"Fruit or nut juices (including grape must and coconut water) and - Grape juice (including grape must) - 3.- For the purposes of subheadings 2009.12, 2009.21, 2009.31, 2009.41, and 2009.71, the"
200969,Fruit or nut juices (including grape must and coconut water) and - Grape juice (including grape must) - Other
200971,"Fruit or nut juices (including grape must and coconut water) and - Apple juice - 3.- For the purposes of subheadings 2009.12, 2009.21, 2009.31, 2009.41, 2009.61 and , the"
200979,Fruit or nut juices (including grape must and coconut water) and - Apple juice - Other
200981,"Fruit or nut juices (including grape must and coconut water) and - Juice of any other single fruit, nut or vegetable - Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos)"
200989,"Fruit or nut juices (including grape must and coconut water) and - Juice of any other single fruit, nut or vegetable - Other"
200990,"Fruit or nut juices (including grape must and coconut water) and - Juice of any other single fruit, nut or vegetable - Mixtures of juices"
210111,"Extracts, essences and concentrates, of coffee, tea or maté and - Extracts, essences and concentrates"
210112,"Extracts, essences and concentrates, of coffee, tea or maté and - Preparations with a basis of extracts, essences or concentrates or"
210120,"Extracts, essences and concentrates, of coffee, tea or maté and - Extracts, essences and concentrates, of tea or maté, and preparations"
210130,"Extracts, essences and concentrates, of coffee, tea or maté and - Roasted chicory and other roasted coffee substitutes, and extracts,"
210210,"Yeasts (active or inactive); other single-cell micro-organisms, - Active yeasts"
210220,"Yeasts (active or inactive); other single-cell micro-organisms, - Inactive yeasts; other single-cell micro-organisms, dead"
210230,"Yeasts (active or inactive); other single-cell micro-organisms, - Prepared baking powders"
210310,Sauces and preparations therefor; mixed condiments and mixed - Soya sauce
210320,Sauces and preparations therefor; mixed condiments and mixed - Tomato ketchup and other tomato sauces
210330,Sauces and preparations therefor; mixed condiments and mixed - Mustard flour and meal and prepared mustard
210390,Sauces and preparations therefor; mixed condiments and mixed - Other
210410,Soups and broths and preparations therefor; homogenised - Soups and broths and preparations therefor
210420,Soups and broths and preparations therefor; homogenised - Homogenised composite food preparations
210500,"2105.00 Ice cream and other edible ice, whether or not containing cocoa - 21.05 Ice cream and other edible ice, whether or not containing cocoa."
210610,Food preparations not elsewhere specified or included - Protein concentrates and textured protein substances
210690,Food preparations not elsewhere specified or included - Other
220110,"Waters, including natural or artificial mineral waters and - Mineral waters and aerated waters"
220190,"Waters, including natural or artificial mineral waters and - Other"
220210,"Waters, including mineral waters and aerated waters, - Waters, including mineral waters and aerated waters, containing"
220291,"Waters, including mineral waters and aerated waters, - Other - Non-alcoholic beer"
220299,"Waters, including mineral waters and aerated waters, - Other - Other"
220300,2203.00 Beer made from malt - 22.03 Beer made from malt.
220410,"Wine of fresh grapes, including fortified wines; grape must other - 1.- For the purposes of subheading , the expression “sparkling wine” means wine which, when kept"
220421,"Wine of fresh grapes, including fortified wines; grape must other - In containers holding 2 l or less"
220422,"Wine of fresh grapes, including fortified wines; grape must other - In containers holding more than 2 l but not more than 10 l"
220429,"Wine of fresh grapes, including fortified wines; grape must other - Other"
220430,"Wine of fresh grapes, including fortified wines; grape must other - Other grape must"
220510,Vermouth and other wine of fresh grapes flavoured with plants - In containers holding 2 l or less
220590,Vermouth and other wine of fresh grapes flavoured with plants - Other
220600,"or heading 22.08 as appropriate - 22.06 Other fermented beverages (for example, cider, perry, mead,"
220710,Undenatured ethyl alcohol of an alcoholic strength by volume of - Undenatured ethyl alcohol of an alcoholic strength by volume of
220720,"Undenatured ethyl alcohol of an alcoholic strength by volume of - Ethyl alcohol and other spirits, denatured, of any strength"
220820,Undenatured ethyl alcohol of an alcoholic strength by volume of - Spirits obtained by distilling grape wine or grape marc
220830,Undenatured ethyl alcohol of an alcoholic strength by volume of - Whiskies
220840,Undenatured ethyl alcohol of an alcoholic strength by volume of - Rum and other spirits obtained by distilling fermented sugar-cane
220850,Undenatured ethyl alcohol of an alcoholic strength by volume of - Gin and Geneva
220860,Undenatured ethyl alcohol of an alcoholic strength by volume of - Vodka
220870,Undenatured ethyl alcohol of an alcoholic strength by volume of - Liqueurs and cordials
220890,Undenatured ethyl alcohol of an alcoholic strength by volume of - Other
220900,2209.00 Vinegar and substitutes for vinegar obtained from acetic acid - 22.09 Vinegar and substitutes for vinegar obtained from acetic acid.
230110,"Flours, meals and pellets, of meat or meat offal, of fish or of - Flours, meals and pellets, of meat or meat offal; greaves"
230120,"Flours, meals and pellets, of meat or meat offal, of fish or of - Flours, meals and pellets, of fish or of crustaceans, molluscs or"
230210,"Bran, sharps and other residues, whether or not in the form of - Of maize (corn)"
230230,"Bran, sharps and other residues, whether or not in the form of - Of wheat"
230240,"Bran, sharps and other residues, whether or not in the form of - Of other cereals"
230250,"Bran, sharps and other residues, whether or not in the form of - Of leguminous plants"
230310,"Residues of starch manufacture and similar residues, beet-pulp, - Residues of starch manufacture and similar residues"
230320,"Residues of starch manufacture and similar residues, beet-pulp, - Beet-pulp, bagasse and other waste of sugar manufacture"
230330,"Residues of starch manufacture and similar residues, beet-pulp, - Brewing or distilling dregs and waste"
230400,"2304.00 Oil-cake and other solid residues, whether or not ground or in - 23.04 Oil-cake and other solid residues, whether or not ground or in"
230500,"2305.00 Oil-cake and other solid residues, whether or not ground or in - 23.05 Oil-cake and other solid residues, whether or not ground or in"
230610,"Oil-cake and other solid residues, whether or not ground or in - Of cotton seeds"
230620,"Oil-cake and other solid residues, whether or not ground or in - Of linseed"
230630,"Oil-cake and other solid residues, whether or not ground or in - Of sunflower seeds"
230641,"Oil-cake and other solid residues, whether or not ground or in - Of rape or colza seeds - 1.- For the purposes of subheading , the expression “low erucic acid rape or colza seeds” means"
230649,"Oil-cake and other solid residues, whether or not ground or in - Of rape or colza seeds - Other"
230650,"Oil-cake and other solid residues, whether or not ground or in - Of rape or colza seeds - Of coconut or copra"
230660,"Oil-cake and other solid residues, whether or not ground or in - Of rape or colza seeds - Of palm nuts or kernels"
230690,"Oil-cake and other solid residues, whether or not ground or in - Of rape or colza seeds - Other"
230700,2307.00 Wine lees; argol - 23.07 Wine lees; argol.
230800,"2308.00 Vegetable materials and vegetable waste, vegetable residues and - 23.08 Vegetable materials and vegetable waste, vegetable residues and"
230910,"Preparations of a kind used in animal feeding - Dog or cat food, put up for retail sale"
230990,Preparations of a kind used in animal feeding - Other
240110,"Unmanufactured tobacco; tobacco refuse - Tobacco, not stemmed/stripped"
240120,"Unmanufactured tobacco; tobacco refuse - Tobacco, partly or wholly stemmed/stripped"
240130,Unmanufactured tobacco; tobacco refuse - Tobacco refuse
240210,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of - Cigars, cheroots and cigarillos, containing tobacco"
240220,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of - Cigarettes containing tobacco"
240290,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of - Other"
240311,"Other manufactured tobacco and manufactured tobacco - 1.- For the purposes of subheading , the expression “water pipe tobacco” means tobacco intended"
240319,Other manufactured tobacco and manufactured tobacco - Other
240391,Other manufactured tobacco and manufactured tobacco - Other - “Homogenised” or “reconstituted” tobacco
240399,Other manufactured tobacco and manufactured tobacco - Other - Other
240411,"Products containing tobacco, reconstituted tobacco, nicotine, or - Products intended for inhalation without combustion - Containing tobacco or reconstituted tobacco"
240412,"Products containing tobacco, reconstituted tobacco, nicotine, or - Products intended for inhalation without combustion - Other, containing nicotine"
240419,"Products containing tobacco, reconstituted tobacco, nicotine, or - Products intended for inhalation without combustion - Other"
240491,"Products containing tobacco, reconstituted tobacco, nicotine, or - Other - For oral application"
240492,"Products containing tobacco, reconstituted tobacco, nicotine, or - Other - For transdermal application"
240499,"Products containing tobacco, reconstituted tobacco, nicotine, or - Other - Other"
250100,2501.00 Salt (including table salt and denatured salt) and pure sodium - 25.01 Salt (including table salt and denatured salt) and pure sodium
250200,2502.00 Unroasted iron pyrites - 25.02 Unroasted iron pyrites.
250300,"2503.00 Sulphur of all kinds, other than sublimed sulphur, precipitated - 25.03 Sulphur of all kinds, other than sublimed sulphur, precipitated"
250410,Natural graphite - In powder or in flakes
250490,Natural graphite - Other
250510,"Natural sands of all kinds, whether or not coloured, other than - Silica sands and quartz sands"
250590,"Natural sands of all kinds, whether or not coloured, other than - Other"
250610,"Quartz (other than natural sands); quartzite, whether or not - Quartz"
250620,"Quartz (other than natural sands); quartzite, whether or not - Quartzite"
250700,"2507.00 Kaolin and other kaolinic clays, whether or not calcined - 25.07 Kaolin and other kaolinic clays, whether or not calcined."
250810,"Other clays (not including expanded clays of heading 68.06), - Bentonite"
250830,"Other clays (not including expanded clays of heading 68.06), - Fire-clay"
250840,"Other clays (not including expanded clays of heading 68.06), - Other clays"
250850,"Other clays (not including expanded clays of heading 68.06), - Andalusite, kyanite and sillimanite"
250860,"Other clays (not including expanded clays of heading 68.06), - Mullite"
250870,"Other clays (not including expanded clays of heading 68.06), - Chamotte or dinas earths"
250900,2509.00 Chalk - 25.09 Chalk.
251010,"Natural calcium phosphates, natural aluminium calcium - Unground"
251020,"Natural calcium phosphates, natural aluminium calcium - Ground"
251110,Natural barium sulphate (barytes); natural barium carbonate - Natural barium sulphate (barytes)
251120,Natural barium sulphate (barytes); natural barium carbonate - Natural barium carbonate (witherite)
251200,"2512.00 Siliceous fossil meals (for example, kieselguhr, tripolite and - 25.12 Siliceous fossil meals (for example, kieselguhr, tripolite and"
251310,"Pumice stone; emery; natural corundum, natural garnet and - Pumice stone"
251320,"Pumice stone; emery; natural corundum, natural garnet and - Emery, natural corundum, natural garnet and other natural abrasives"
251400,"2514.00 Slate, whether or not roughly trimmed or merely cut, by sawing - 25.14 Slate, whether or not roughly trimmed or merely cut, by sawing"
251511,"Marble, travertine, ecaussine and other calcareous monumental - Marble and travertine - Crude or roughly trimmed"
251512,"Marble, travertine, ecaussine and other calcareous monumental - Marble and travertine - Merely cut, by sawing or otherwise, into blocks or slabs of a"
251520,"Marble, travertine, ecaussine and other calcareous monumental - Marble and travertine - Ecaussine and other calcareous monumental or building stone;"
251611,"Granite, porphyry, basalt, sandstone and other monumental or - Granite - Crude or roughly trimmed"
251612,"Granite, porphyry, basalt, sandstone and other monumental or - Granite - Merely cut, by sawing or otherwise, into blocks or slabs of a"
251620,"Granite, porphyry, basalt, sandstone and other monumental or - Granite - Sandstone"
251690,"Granite, porphyry, basalt, sandstone and other monumental or - Granite - Other monumental or building stone"
251710,"Pebbles, gravel, broken or crushed stone, of a kind commonly - Pebbles, gravel, broken or crushed stone, of a kind commonly used"
251720,"Pebbles, gravel, broken or crushed stone, of a kind commonly - Macadam of slag, dross or similar industrial waste, whether or not"
251730,"Pebbles, gravel, broken or crushed stone, of a kind commonly - Tarred macadam"
251741,"Pebbles, gravel, broken or crushed stone, of a kind commonly - Of marble"
251749,"Pebbles, gravel, broken or crushed stone, of a kind commonly - Other"
251810,"Dolomite, whether or not calcined or sintered, including - Dolomite, not calcined or sintered"
251820,"Dolomite, whether or not calcined or sintered, including - Calcined or sintered dolomite"
251910,Natural magnesium carbonate (magnesite); fused magnesia; - Natural magnesium carbonate (magnesite)
251990,Natural magnesium carbonate (magnesite); fused magnesia; - Other
252010,Gypsum; anhydrite; plasters (consisting of calcined gypsum or - Gypsum; anhydrite
252020,Gypsum; anhydrite; plasters (consisting of calcined gypsum or - Plasters
252100,"2521.00 Limestone flux; limestone and other calcareous stone, of a kind - 25.21 Limestone flux; limestone and other calcareous stone, of a kind"
252210,"Quicklime, slaked lime and hydraulic lime, other than calcium - Quicklime"
252220,"Quicklime, slaked lime and hydraulic lime, other than calcium - Slaked lime"
252230,"Quicklime, slaked lime and hydraulic lime, other than calcium - Hydraulic lime"
252310,"Portland cement, aluminous cement, slag cement, supersulphate - Cement clinkers"
252321,"Portland cement, aluminous cement, slag cement, supersulphate - Portland cement - White cement, whether or not artificially coloured"
252329,"Portland cement, aluminous cement, slag cement, supersulphate - Portland cement - Other"
252330,"Portland cement, aluminous cement, slag cement, supersulphate - Portland cement - Aluminous cement"
252390,"Portland cement, aluminous cement, slag cement, supersulphate - Portland cement - Other hydraulic cements"
252410,Asbestos - Crocidolite
252490,Asbestos - Other
252510,"Mica, including splittings; mica waste - Crude mica and mica rifted into sheets or splittings"
252520,"Mica, including splittings; mica waste - Mica powder"
252530,"Mica, including splittings; mica waste - Mica waste"
252610,"Natural steatite, whether or not roughly trimmed or merely cut, - Not crushed, not powdered"
252620,"Natural steatite, whether or not roughly trimmed or merely cut, - Crushed or powdered"
252800,2528.00 Natural borates and concentrates thereof (whether or not - 25.28 Natural borates and concentrates thereof (whether or not
252910,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar - Feldspar"
252921,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar - Fluorspar - Containing by weight 97 % or less of calcium fluoride"
252922,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar - Fluorspar - Containing by weight more than 97 % of calcium fluoride"
252930,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar - Fluorspar - Leucite; nepheline and nepheline syenite"
253010,"Mineral substances not elsewhere specified or included - Vermiculite, perlite and chlorites, unexpanded"
253020,"Mineral substances not elsewhere specified or included - Kieserite, epsomite (natural magnesium sulphates)"
253090,Mineral substances not elsewhere specified or included - Other
260111,"Iron ores and concentrates, including roasted iron pyrites - Iron ores and concentrates, other than roasted iron pyrites - Non-agglomerated"
260112,"Iron ores and concentrates, including roasted iron pyrites - Iron ores and concentrates, other than roasted iron pyrites - Agglomerated"
260120,"Iron ores and concentrates, including roasted iron pyrites - Iron ores and concentrates, other than roasted iron pyrites - Roasted iron pyrites"
260200,"2602.00 Manganese ores and concentrates, including ferruginous - 26.02 Manganese ores and concentrates, including ferruginous"
260300,2603.00 Copper ores and concentrates - 26.03 Copper ores and concentrates.
260400,2604.00 Nickel ores and concentrates - 26.04 Nickel ores and concentrates.
260500,2605.00 Cobalt ores and concentrates - 26.05 Cobalt ores and concentrates.
260600,2606.00 Aluminium ores and concentrates - 26.06 Aluminium ores and concentrates.
260700,2607.00 Lead ores and concentrates - 26.07 Lead ores and concentrates.
260800,2608.00 Zinc ores and concentrates - 26.08 Zinc ores and concentrates.
260900,2609.00 Tin ores and concentrates - 26.09 Tin ores and concentrates.
261000,2610.00 Chromium ores and concentrates - 26.10 Chromium ores and concentrates.
261100,2611.00 Tungsten ores and concentrates - 26.11 Tungsten ores and concentrates.
261210,Uranium or thorium ores and concentrates - Uranium ores and concentrates
261220,Uranium or thorium ores and concentrates - Thorium ores and concentrates
261310,Molybdenum ores and concentrates - Roasted
261390,Molybdenum ores and concentrates - Other
261400,2614.00 Titanium ores and concentrates - 26.14 Titanium ores and concentrates.
261510,"Niobium, tantalum, vanadium or zirconium ores and - Zirconium ores and concentrates"
261590,"Niobium, tantalum, vanadium or zirconium ores and - Other"
261610,Precious metal ores and concentrates - Silver ores and concentrates
261690,Precious metal ores and concentrates - Other
261710,Other ores and concentrates - Antimony ores and concentrates
261790,Other ores and concentrates - Other
261800,2618.00 Granulated slag (slag sand) from the manufacture of iron or - 26.18 Granulated slag (slag sand) from the manufacture of iron or
261900,"2619.00 Slag, dross (other than granulated slag), scalings and other waste - 26.19 Slag, dross (other than granulated slag), scalings and other waste"
262011,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly zinc - Hard zinc spelter"
262019,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly zinc - Other"
262021,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly lead - 1.- For the purposes of subheading , “leaded gasoline sludges and leaded anti-knock compound"
262029,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly lead - Other"
262030,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly lead - Containing mainly copper"
262040,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly lead - Containing mainly aluminium"
262060,"Slag, ash and residues (other than from the manufacture of iron - Containing mainly lead - Containing arsenic, mercury, thallium or their mixtures, of a kind"
262091,"Slag, ash and residues (other than from the manufacture of iron - Other - Containing antimony, beryllium, cadmium, chromium or their"
262099,"Slag, ash and residues (other than from the manufacture of iron - Other - Other"
262110,"Other slag and ash, including seaweed ash (kelp); ash and - Ash and residues from the incineration of municipal waste"
262190,"Other slag and ash, including seaweed ash (kelp); ash and - Other"
270111,"Coal; briquettes, ovoids and similar solid fuels manufactured - Coal, whether or not pulverised, but not agglomerated - 1.- For the purposes of subheading , “anthracite” means coal having a volatile matter limit (on a dry,"
270112,"Coal; briquettes, ovoids and similar solid fuels manufactured - Coal, whether or not pulverised, but not agglomerated - 2.- For the purposes of subheading , “bituminous coal” means coal having a volatile matter limit (on"
270119,"Coal; briquettes, ovoids and similar solid fuels manufactured - Coal, whether or not pulverised, but not agglomerated - Other coal"
270120,"Coal; briquettes, ovoids and similar solid fuels manufactured - Coal, whether or not pulverised, but not agglomerated - Briquettes, ovoids and similar solid fuels manufactured from coal"
270210,"Lignite, whether or not agglomerated, excluding jet - Lignite, whether or not pulverised, but not agglomerated"
270220,"Lignite, whether or not agglomerated, excluding jet - Agglomerated lignite"
270300,"2703.00 Peat (including peat litter), whether or not agglomerated - 27.03 Peat (including peat litter), whether or not agglomerated."
270400,"2704.00 Coke and semi-coke of coal, of lignite or of peat, whether or not - 27.04 Coke and semi-coke of coal, of lignite or of peat, whether or not"
270500,"2705.00 Coal gas, water gas, producer gas and similar gases, other than - 27.05 Coal gas, water gas, producer gas and similar gases, other than"
270600,"2706.00 Tar distilled from coal, from lignite or from peat, and other - 27.06 Tar distilled from coal, from lignite or from peat, and other"
270710,"Oils and other products of the distillation of high temperature - 3.- For the purposes of subheadings , 2707.20, 2707.30 and 2707.40 the terms “benzol (benzene)”,"
270720,"Oils and other products of the distillation of high temperature - 3.- For the purposes of subheadings 2707.10, , 2707.30 and 2707.40 the terms “benzol (benzene)”,"
270730,"Oils and other products of the distillation of high temperature - 3.- For the purposes of subheadings 2707.10, 2707.20, and 2707.40 the terms “benzol (benzene)”,"
270740,"Oils and other products of the distillation of high temperature - 3.- For the purposes of subheadings 2707.10, 2707.20, 2707.30 and the terms “benzol (benzene)”,"
270750,Oils and other products of the distillation of high temperature - Other aromatic hydrocarbon mixtures of which 65 % or more by
270791,Oils and other products of the distillation of high temperature - Other - Creosote oils
270799,Oils and other products of the distillation of high temperature - Other - Other
270810,"Pitch and pitch coke, obtained from coal tar or from other - Pitch"
270820,"Pitch and pitch coke, obtained from coal tar or from other - Pitch coke"
270900,"2709.00 Petroleum oils and oils obtained from bituminous minerals, - 27.09 Petroleum oils and oils obtained from bituminous minerals,"
271012,"Petroleum oils and oils obtained from bituminous minerals, - 4.- For the purposes of subheading , “light oils and preparations” are those of which 90 % or"
271019,"Petroleum oils and oils obtained from bituminous minerals, - Other"
271020,"Petroleum oils and oils obtained from bituminous minerals, - Petroleum oils and oils obtained from bituminous minerals (other"
271091,"Petroleum oils and oils obtained from bituminous minerals, - Waste oils - Containing polychlorinated biphenyls (PCBs), polychlorinated"
271099,"Petroleum oils and oils obtained from bituminous minerals, - Waste oils - Other"
271111,Petroleum gases and other gaseous hydrocarbons - Liquefied - Natural gas
271112,Petroleum gases and other gaseous hydrocarbons - Liquefied - Propane
271113,Petroleum gases and other gaseous hydrocarbons - Liquefied - Butanes
271114,"Petroleum gases and other gaseous hydrocarbons - Liquefied - Ethylene, propylene, butylene and butadiene"
271119,Petroleum gases and other gaseous hydrocarbons - Liquefied - Other
271121,Petroleum gases and other gaseous hydrocarbons - In gaseous state - Natural gas
271129,Petroleum gases and other gaseous hydrocarbons - In gaseous state - Other
271210,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, - Petroleum jelly"
271220,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, - Paraffin wax containing by weight less than 0.75 % of oil"
271290,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, - Other"
271311,"Petroleum coke, petroleum bitumen and other residues of - Petroleum coke - Not calcined"
271312,"Petroleum coke, petroleum bitumen and other residues of - Petroleum coke - Calcined"
271320,"Petroleum coke, petroleum bitumen and other residues of - Petroleum coke - Petroleum bitumen"
271390,"Petroleum coke, petroleum bitumen and other residues of - Petroleum coke - Other residues of petroleum oils or of oils obtained from bituminous"
271410,"Bitumen and asphalt, natural; bituminous or oil shale and tar - Bituminous or oil shale and tar sands"
271490,"Bitumen and asphalt, natural; bituminous or oil shale and tar - Other"
271500,"2715.00 Bituminous mixtures based on natural asphalt, on natural - 27.15 Bituminous mixtures based on natural asphalt, on natural"
271600,2716.00 Electrical energy. (optional heading) - 27.16 Electrical energy. (optional heading)
280110,"Fluorine, chlorine, bromine and iodine - Chlorine"
280120,"Fluorine, chlorine, bromine and iodine - Iodine"
280130,"Fluorine, chlorine, bromine and iodine - Fluorine; bromine"
280200,"2802.00 Sulphur, sublimed or precipitated; colloidal sulphur - 28.02 Sulphur, sublimed or precipitated; colloidal sulphur."
280300,2803.00 Carbon (carbon blacks and other forms of carbon not elsewhere - 28.03 Carbon (carbon blacks and other forms of carbon not elsewhere
280410,"Hydrogen, rare gases and other non-metals - Hydrogen"
280421,"Hydrogen, rare gases and other non-metals - Rare gases - Argon"
280429,"Hydrogen, rare gases and other non-metals - Rare gases - Other"
280430,"Hydrogen, rare gases and other non-metals - Rare gases - Nitrogen"
280440,"Hydrogen, rare gases and other non-metals - Rare gases - Oxygen"
280450,"Hydrogen, rare gases and other non-metals - Rare gases - Boron; tellurium"
280461,"Hydrogen, rare gases and other non-metals - Silicon - Containing by weight not less than 99.99 % of silicon"
280469,"Hydrogen, rare gases and other non-metals - Silicon - Other"
280470,"Hydrogen, rare gases and other non-metals - Silicon - Phosphorus"
280480,"Hydrogen, rare gases and other non-metals - Silicon - Arsenic"
280490,"Hydrogen, rare gases and other non-metals - Silicon - Selenium"
280511,"Alkali or alkaline-earth metals; rare-earth metals, scandium and - Alkali or alkaline-earth metals - Sodium"
280512,"Alkali or alkaline-earth metals; rare-earth metals, scandium and - Alkali or alkaline-earth metals - Calcium"
280519,"Alkali or alkaline-earth metals; rare-earth metals, scandium and - Alkali or alkaline-earth metals - Other"
280530,"Alkali or alkaline-earth metals; rare-earth metals, scandium and - Alkali or alkaline-earth metals - Rare-earth metals, scandium and yttrium, whether or not intermixed"
280540,"Alkali or alkaline-earth metals; rare-earth metals, scandium and - Alkali or alkaline-earth metals - Mercury"
280610,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid - Hydrogen chloride (hydrochloric acid)
280620,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid - Chlorosulphuric acid
280700,2807.00 Sulphuric acid; oleum - 28.07 Sulphuric acid; oleum.
